"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
2516,"F",134700,49,"MED","CAS",44,213,"LOS ANGELES",419976,0,0,0,1099,0,0,1,2600000,"SI",NA
2517,"F",90453,46,"TEC","CAS",142,93,"SANTIAGO",0,62487,0,0,63,9582,0,1,4000000,"NO",NA
2518,"F",46130,57,"MED","SOL",90,86,"SANTIAGO",0,2185294,0,2008474,507,0,694,1,8000000,"SI",NA
2519,"M",489172,32,"MED","CAS",18,105,"SANTIAGO",313937,0,0,0,682,0,106,1,2000000,"SI",NA
2520,"M",620488,54,"UNV","SOL",27,226,"CONCEPCION",0,141677,0,713934,870,0,21666,3,2900000,"NO",NA
2521,"M",11417,45,"UNV","CAS",90,88,"SANTIAGO",0,402145,0,1077379,173,0,235,1,8000000,"NO",NA
2522,"M",143663,50,"TEC","SOL",138,1,"ARICA",0,238524,0,10783,129,0,1,3,1400000,"NO",NA
2523,"F",154124,28,"MED","CAS",68,213,"LOS ANGELES",0,10532,0,0,75,0,12,1,2000000,"NO",NA
2524,"M",422850,43,"TEC","CAS",17,90,"SANTIAGO",0,55204,0,947920,5177,0,4896,3,5900000,"NO",NA
2525,"M",39921,52,"UNV","SOL",52,80,"SANTIAGO",0,650519,0,24425,1659,0,0,2,1000000,"NO",NA
2526,"M",4823835,42,"UNV","CAS",55,90,"SANTIAGO",797106,0,0,0,706,6706,0,1,1000000,"NO",NA
2527,"M",63102,42,"MED","CAS",31,119,"SANTIAGO",0,28021,0,18463,31,0,32,1,1900000,"SI",NA
2528,"F",260550,53,"MED","SOL",70,261,"VILLARRICA",0,9239,0,0,5,0,0,1,4000000,"NO",NA
2529,"M",582788,48,"UNV","CAS",138,87,"SANTIAGO",0,88913,0,206577,6,0,338,1,4000000,"NO",NA
2530,"M",925647,46,"MED","SOL",138,1,"ARICA",0,1077629,0,0,16,77,0,1,4500000,"NO",NA
2531,"F",2261687,28,"TEC","SOL",12,502,"CHUQUICAMATA",0,275552,0,9581,5,0,38,1,1600000,"NO",NA
2532,"M",71123,51,"TEC","CAS",90,89,"SANTIAGO",0,1223386,0,1081096,1694,3623,759,1,8000000,"NO",NA
2533,"F",1055754,33,"TEC","SOL",73,91,"SANTIAGO",0,168805,0,0,5,0,813,1,2100000,"NO",NA
2534,"F",88971,55,"MED","SOL",69,55,"SANTA MARIA",0,0,0,109903,0,0,172,0,2400000,"SI",NA
2535,"F",542764,33,"MED","SOL",124,253,"TEMUCO",0,181107,0,243482,102,0,2617,1,2200000,"NO",NA
2536,"F",67895,55,"TEC","SOL",105,63,"HIJUELAS",0,54730,0,160562,155,2667,1964,1,3600000,"SI",NA
2537,"M",667015,45,"UNV","CAS",31,119,"SANTIAGO",0,439368,0,142073,0,0,201,1,2000000,"NO",NA
2538,"M",571434,43,"MED","CAS",152,115,"SANTIAGO",728021,419816,0,480700,476,0,483,1,550000,"NO",NA
2539,"M",492246,42,"MED","CAS",138,1,"ARICA",715526,0,0,0,1286,57308,0,1,2200000,"NO",NA
2540,"F",605364,45,"TEC","CAS",68,213,"LOS ANGELES",0,0,0,424467,0,0,136,0,4100000,"NO",NA
2541,"M",1704661,59,"UNV","SOL",101,98,"SANTIAGO",0,336227,0,594927,642,0,1517,1,8000000,"NO",NA
2542,"F",13520,56,"TEC","SOL",132,95,"SANTIAGO",0,637068,0,0,0,0,30,0,8000000,"SI",NA
2543,"F",263009,51,"TEC","CAS",92,88,"SANTIAGO",0,280095,0,382869,404,0,12427,2,2300000,"NO",NA
2544,"M",141807,46,"UNV","SOL",74,272,"VALDIVIA",0,1632257,0,0,46,17434,0,1,7600000,"NO",NA
2545,"F",480219,58,"TEC","SOL",85,88,"SANTIAGO",0,73847,0,124224,27,0,383,1,3600000,"NO",NA
2546,"M",351215,26,"TEC","CAS",37,85,"SANTIAGO",0,0,0,0,21,0,33,1,5900000,"NO",NA
2547,"M",59904,51,"UNV","CAS",52,115,"SANTIAGO",0,241707,0,38070,0,2316,128,1,2600000,"NO",NA
2548,"F",362161,41,"TEC","CAS",27,226,"CONCEPCION",0,11271,0,695765,183,0,199,2,3200000,"NO",NA
2549,"M",489687,52,"TEC","SOL",90,96,"SANTIAGO",0,565384,0,74,1,0,0,1,3100000,"SI",NA
2550,"F",187984,29,"TEC","SOL",68,213,"LOS ANGELES",0,642,0,94337,119,0,80,1,1600000,"NO",NA
2551,"M",8080,54,"MED","CAS",55,90,"SANTIAGO",0,595286,0,0,66,0,1577,1,4000000,"NO",NA
2552,"M",1904543,40,"TEC","CAS",128,88,"SANTIAGO",0,196056,0,0,24,0,0,2,8000000,"NO",NA
2553,"F",513376,32,"TEC","CAS",39,105,"SANTIAGO",0,76308,0,11901,23,861,85,2,1200000,"NO",NA
2554,"M",324796,46,"UNV","CAS",31,119,"SANTIAGO",0,27632,0,13559,0,0,92,1,1700000,"NO",NA
2555,"F",393576,43,"MED","SOL",152,89,"SANTIAGO",0,0,0,0,172,0,0,2,1400000,"NO",NA
2556,"F",35540,44,"MED","CAS",31,119,"SANTIAGO",0,23749,1605597,493055,620,0,941,1,3400000,"NO",NA
2557,"F",34075,50,"MED","SOL",41,88,"SANTIAGO",0,91752,0,325543,9,0,0,1,2400000,"SI",NA
2558,"F",38503,30,"UNV","CAS",12,13,"CALAMA",0,89061,0,342047,0,0,0,1,1800000,"NO",NA
2559,"M",144916,50,"TEC","SOL",138,1,"ARICA",0,131899,0,157272,198,0,251,2,1700000,"NO",NA
2560,"F",55498,58,"MED","SEP",30,90,"SANTIAGO",0,855820,0,0,142,0,0,1,3200000,"SI",NA
2561,"M",599862,52,"UNV","CAS",90,94,"SANTIAGO",0,395008,0,0,152,0,0,1,3200000,"NO",NA
2562,"F",12190,48,"TEC","SOL",16,89,"SANTIAGO",0,0,0,0,0,5713,0,0,5000000,"SI",NA
2563,"M",357022,47,"UNV","CAS",122,89,"SANTIAGO",0,7348,0,703031,732,32094,1499,2,2100000,"NO",NA
2564,"M",690314,35,"TEC","SOL",10,5,"IQUIQUE",0,19622,5136715,933258,6789,0,50188,2,7800000,"NO",NA
2565,"M",316200,28,"TEC","CAS",66,253,"TEMUCO",0,198302,0,167977,0,0,129,0,3200000,"NO",NA
2566,"F",405747,58,"TEC","CAS",72,504,"EL SALVADOR",0,372553,0,0,147,0,218,1,1400000,"NO",NA
2567,"M",118550,53,"TEC","CAS",27,226,"CONCEPCION",0,56593,0,198734,505,0,94,3,1500000,"NO",NA
2568,"M",1159148,43,"UNV","CAS",55,90,"SANTIAGO",0,157256,0,0,0,0,15,1,1600000,"NO",NA
2569,"F",902031,55,"MED","CAS",90,103,"SANTIAGO",0,86378,0,0,32,1106,29,1,6000000,"NO",NA
2570,"F",8150,50,"MED","SOL",16,124,"CURACAVI",0,218023,0,180206,102,0,481,1,1600000,"SI",NA
2571,"F",53475,51,"MED","CAS",13,16,"ANTOFAGASTA",0,455749,0,0,0,0,6691,0,8000000,"NO",NA
2572,"F",3743501,38,"TEC","SOL",42,31,"COQUIMBO",0,64474,0,28519,419,0,0,1,3100000,"NO",NA
2573,"M",11432,40,"UNV","CAS",55,90,"SANTIAGO",0,176094,0,875752,3,0,740,1,3800000,"NO",NA
2574,"M",643128,50,"UNV","CAS",29,91,"SANTIAGO",0,337613,29397,452096,0,0,1501,1,3100000,"NO",NA
2575,"M",4469661,41,"UNV","CAS",55,90,"SANTIAGO",988878,5870,0,52643,1545,0,205,2,3400000,"NO",NA
2576,"F",26048,48,"TEC","SOL",12,13,"CALAMA",0,100867,0,751441,0,0,378,0,8000000,"SI",NA
2577,"M",447067,37,"UNV","SOL",27,227,"TALCAHUANO",0,148672,0,0,1,1728,0,1,1600000,"NO",NA
2578,"M",373003,42,"MED","CAS",92,511,"SANTIAGO",0,110727,0,125395,191,152,82,2,3600000,"NO",NA
2579,"M",4469253,42,"UNV","CAS",122,115,"SANTIAGO",0,1349,0,19827,244,0,10,2,1600000,"SI",NA
2580,"M",998257,46,"MED","SEP",19,115,"SANTIAGO",0,586561,0,0,95,0,2,2,4700000,"NO",NA
2581,"M",3652650,41,"MED","CAS",55,90,"SANTIAGO",0,317335,0,395097,90,0,68,1,1300000,"NO",NA
2582,"F",6366671,38,"TEC","VIU",118,85,"SANTIAGO",0,480019,0,9325,521,18169,0,1,4700000,"NO",NA
2583,"F",2867,52,"MED","SOL",98,122,"MELIPILLA",0,405331,0,0,74,0,0,1,8000000,"SI",NA
2584,"M",3475166,44,"MED","CAS",55,90,"SANTIAGO",0,60223,0,46603,74,0,214,1,1900000,"NO",NA
2585,"M",17516,44,"MED","CAS",55,90,"SANTIAGO",0,0,0,899586,122,0,1733,1,4800000,"SI",NA
2586,"M",415763,54,"UNV","SOL",92,88,"SANTIAGO",0,690518,0,0,125,0,0,1,4200000,"NO",NA
2587,"M",177772,44,"MED","CAS",138,1,"ARICA",1311765,383115,0,0,1360,0,0,1,4100000,"SI",NA
2588,"F",621866,51,"UNV","SOL",138,1,"ARICA",0,623166,0,101492,129,0,202,1,4400000,"NO",NA
2589,"M",673583,55,"UNV","CAS",27,226,"CONCEPCION",0,631691,0,57344,0,0,21,1,3400000,"SI",NA
2590,"M",252673,64,"TEC","SOL",21,16,"ANTOFAGASTA",0,354417,0,0,32,0,0,1,600000,"NO",NA
2591,"F",177126,41,"MED","CAS",90,98,"SANTIAGO",0,0,0,0,0,6539,0,0,1800000,"NO",NA
2592,"F",1080235,38,"UNV","CAS",85,91,"SANTIAGO",0,54155,0,253157,34,27932,5226,1,8000000,"NO",NA
2593,"M",486352,42,"MED","CAS",13,16,"ANTOFAGASTA",0,0,0,0,184,16743,0,1,800000,"NO",NA
2594,"M",701827,40,NA,"CAS",31,119,"SANTIAGO",803178,22565,0,976271,1932,0,1186,1,3600000,"SI",NA
2595,"F",12433,32,"MED","SOL",125,89,"SANTIAGO",0,298215,0,0,0,10724,0,0,5200000,"SI",NA
2596,"M",484823,50,"TEC","CAS",59,88,"SANTIAGO",0,0,0,0,0,0,115,1,2200000,"NO",NA
2597,"F",581381,55,"TEC","SOL",144,89,"SANTIAGO",0,321202,0,16718,50,1446,398,1,8000000,"NO",NA
2598,"M",2446218,43,"UNV","CAS",100,86,"SANTIAGO",0,732567,0,221421,761,1519,158,1,4500000,"NO",NA
2599,"M",532919,42,"UNV","CAS",45,89,"SANTIAGO",0,1374414,0,0,72,667,1837,1,5800000,"NO",NA
2600,"M",623842,34,"TEC","CAS",25,93,"SANTIAGO",0,933631,0,0,2,0,0,1,8000000,"NO",NA
2601,"M",460114,52,"MED","CAS",31,119,"SANTIAGO",0,94289,0,0,56,0,0,1,2600000,"NO",NA
2602,"M",494296,47,"UNV","SOL",90,88,"SANTIAGO",0,40467,0,1648593,884,23473,172,1,1300000,"NO",NA
2603,"M",581915,53,"MED","CAS",52,93,"SANTIAGO",176196,808,0,0,33,0,0,1,1900000,"NO",NA
2604,"F",56053,53,"MED","CAS",37,115,"SANTIAGO",0,5725,0,0,21,0,0,1,2400000,"NO",NA
2605,"F",128410,26,"EUN","SOL",64,316,"AYSEN",0,19762,0,67743,1,0,4,1,1700000,"NO",NA
2606,"F",5361419,36,"TEC","VIU",83,85,"SANTIAGO",0,3429083,0,1077498,455,0,1226,1,1800000,"NO",NA
2607,"M",1804902,44,"TEC","VIU",50,88,"SANTIAGO",0,1407847,0,1239107,247,48993,66868,3,8000000,"NO",NA
2608,"F",504244,54,"TEC","CAS",27,226,"CONCEPCION",286874,160082,0,209025,937,0,80,1,900000,"NO",NA
2609,"M",277206,53,"TEC","SOL",27,226,"CONCEPCION",2542435,5872,0,256756,397,0,193,1,800000,"NO",NA
2610,"F",140436,32,"TEC","VIU",85,87,"SANTIAGO",0,261440,0,0,46,0,0,1,2700000,"NO",NA
2611,"M",431108,51,"UNV","CAS",127,97,"SANTIAGO",0,30775,0,922297,147,0,25,2,2200000,"NO",NA
2612,"M",764719,44,"UNV","CAS",55,90,"SANTIAGO",136653,0,0,0,211,1952,0,1,1500000,"NO",NA
2613,"F",278907,48,"MED","CAS",66,253,"TEMUCO",0,0,0,0,0,0,0,0,6000000,"NO",NA
2614,"F",17551,47,"MED","SOL",13,16,"ANTOFAGASTA",0,681712,0,126928,333,2696,167,1,3700000,"SI",NA
2615,"M",863233,50,"MED","CAS",19,88,"SANTIAGO",449482,2240573,0,685661,1750,18200,20179,3,8000000,"NO",NA
2616,"F",253934,28,"TEC","SOL",124,253,"TEMUCO",0,172119,0,38674,59,0,100,1,1600000,"NO",NA
2617,"M",395,40,"MED","CAS",104,105,"SANTIAGO",391162,2807,0,21390,536,13634,971,2,1400000,"NO",NA
2618,"M",1838178,41,"UNV","CAS",55,90,"SANTIAGO",0,171506,0,43853,142,173,109,1,3900000,"NO",NA
2619,"M",454378,50,"UNV","SOL",138,1,"ARICA",0,146581,0,0,32,3347,63,3,500000,"NO",NA
2620,"F",679,55,"MED","VIU",48,88,"SANTIAGO",0,5174,0,0,184,0,0,1,1600000,"SI",NA
2621,"F",137215,45,"MED","CAS",40,67,"VINA DEL MAR",2024023,59974,0,369928,2707,0,901,1,650000,"NO",NA
2622,"F",328598,48,"UNV","CAS",90,105,"SANTIAGO",0,454136,0,0,0,13010,191,1,1300000,"NO",NA
2623,"M",989525,58,"UNV","SOL",12,13,"CALAMA",0,343618,0,64120,39,0,0,1,4600000,"NO",NA
2624,"F",82385,40,"TEC","SOL",15,67,"VINA DEL MAR",0,1773858,0,0,0,11317,8599,0,8000000,"SI",NA
2625,"M",35106,54,"UNV","SOL",127,93,"SANTIAGO",0,294680,0,227665,309,0,117,1,1300000,"SI",NA
2626,"F",68741,54,"MED","SOL",68,213,"LOS ANGELES",0,678396,0,0,32,0,0,1,3700000,"SI",NA
2627,"M",7769,42,"MED","CAS",52,80,"SANTIAGO",0,155037,0,263459,143,12700,96,1,1900000,"NO",NA
2628,"F",117778,49,"UNV","VIU",27,226,"CONCEPCION",428139,77416,0,167885,916,0,802,1,4200000,"NO",NA
2629,"F",77783,62,"TEC","SOL",90,90,"SANTIAGO",0,186811,0,0,12,0,0,1,4200000,"SI",NA
2630,"M",390497,30,"MED","SOL",56,131,"RANCAGUA",0,94890,0,0,921,6786,66,2,900000,"NO",NA
2631,"F",1297053,38,"MED","VIU",15,67,"VINA DEL MAR",0,29156,0,762764,1036,0,690,3,4500000,"NO",NA
2632,"M",265266,30,"UNV","CAS",27,226,"CONCEPCION",546453,3821,0,58135,247,0,982,1,1100000,"NO",NA
2633,"F",657637,56,"TEC","CAS",64,314,"COYHAIQUE",866450,697090,0,0,0,0,0,1,8000000,"NO",NA
2634,"M",1849257,35,"MED","CAS",10,5,"IQUIQUE",0,29344,10718684,520413,3106,0,83080,2,7800000,"NO",NA
2635,"F",148017,30,"TEC","CAS",84,80,"SANTIAGO",0,42,0,0,42,0,0,1,2900000,"SI",NA
2636,"M",262897,45,"UNV","SOL",25,85,"SANTIAGO",0,185560,2901363,1730,384,0,1369,3,4900000,"SI",NA
2637,"M",67061,35,"UNV","CAS",90,100,"SANTIAGO",0,48673,0,35368,14,0,0,1,2700000,"NO",NA
2638,"F",11677,44,"TEC","SOL",90,326,"PUNTA ARENAS",0,0,0,0,995,2799,9765,1,2900000,"SI",NA
2639,"M",8148796,42,"MED","CAS",73,89,"SANTIAGO",0,392428,0,185975,1090,0,13,2,3200000,"NO",NA
2640,"F",123222,28,"MED","SOL",27,226,"CONCEPCION",0,73243,0,192487,569,0,0,1,900000,"NO",NA
2641,"F",42932,56,"MED","SOL",139,88,"SANTIAGO",0,110653,1732377,0,0,0,1965,0,8000000,"SI",NA
2642,"F",37910,50,"TEC","SOL",55,89,"SANTIAGO",0,210227,0,0,0,1865,0,1,4600000,"SI",NA
2643,"M",5391231,37,"MED","CAS",78,115,"SANTIAGO",0,42063,0,136012,78,442,0,2,1600000,"NO",NA
2644,"F",1365343,40,"TEC","SOL",29,93,"SANTIAGO",0,3092,0,55030,512,0,137,3,3000000,"SI",NA
2645,"F",799851,46,"MED","CAS",74,272,"VALDIVIA",0,268414,0,0,6,6521,0,1,7600000,"NO",NA
2646,"M",3548945,40,"TEC","CAS",28,89,"SANTIAGO",0,714660,0,0,59,22252,0,1,8000000,"NO",NA
2647,"M",2840,29,"MED","CAS",76,104,"SANTIAGO",1069437,18604,0,52649,632,0,593,1,2900000,"NO",NA
2648,"M",134124,47,"UNV","CAS",138,1,"ARICA",0,15570,2545546,150659,13,0,1135,1,1800000,"NO",NA
2649,"F",247169,28,"TEC","SOL",44,173,"TALCA",0,1946,0,92158,446,0,358,3,1200000,"NO",NA
2650,"M",812179,41,"UNV","CAS",142,93,"SANTIAGO",0,7473,0,365200,421,0,0,1,2800000,"SI",NA
2651,"F",69749,52,"TEC","SOL",43,70,"QUILPUE",0,0,0,0,0,4386,0,0,2100000,"SI",NA
2652,"M",4522,40,"TEC","CAS",46,29,"LA SERENA",0,335294,0,0,67,0,0,2,1700000,"NO",NA
2653,"M",2051192,46,"UNV","CAS",138,1,"ARICA",3961350,1143170,0,2553282,11167,19965,21416,3,1600000,"NO",NA
2654,"F",621417,39,"MED","VIU",73,86,"SANTIAGO",0,5208,0,0,0,0,0,1,1600000,"NO",NA
2655,"F",45967,50,"TEC","SOL",13,16,"ANTOFAGASTA",0,263768,0,0,0,7102,0,0,4500000,"SI",NA
2656,"M",271849,39,"MED","CAS",90,105,"SANTIAGO",456575,336716,0,204034,2288,0,287,1,1000000,"NO",NA
2657,"F",117465,33,"UNV","SEP",34,31,"COQUIMBO",0,427405,0,23285,2,929,0,1,1300000,"NO",NA
2658,"F",60004,58,"MED","SOL",56,131,"RANCAGUA",0,1078378,0,0,303,8687,44402,1,7400000,"SI",NA
2659,"M",1351132,60,"UNV","SOL",68,213,"LOS ANGELES",567505,958721,586902,0,0,0,654,0,2500000,"NO",NA
2660,"M",65159,47,"UNV","CAS",76,89,"SANTIAGO",0,1196894,0,0,1341,699,220,2,8000000,"NO",NA
2661,"M",136323,52,"TEC","SOL",116,131,"RANCAGUA",354044,0,0,0,276,0,0,1,1600000,"NO",NA
2662,"F",5123,30,"UNV","SOL",68,213,"LOS ANGELES",0,107290,0,1241,59,6662,163,2,1700000,"NO",NA
2663,"M",73938,45,"MED","CAS",92,88,"SANTIAGO",0,91019,0,113721,141,0,196,1,4200000,"NO",NA
2664,"M",871577,53,"UNV","CAS",27,226,"CONCEPCION",1088205,17747,0,330249,82,0,186,2,2200000,"NO",NA
2665,"M",458281,41,"UNV","CAS",55,90,"SANTIAGO",0,988764,0,0,0,0,457,1,900000,"NO",NA
2666,"M",679177,50,"MED","CAS",31,119,"SANTIAGO",0,372051,262439,0,0,0,0,1,5200000,"NO",NA
2667,"F",2439576,32,"MED","CAS",15,66,"VALPARAISO",867212,6897,0,304069,1202,0,353,1,1500000,"NO",NA
2668,"F",1994216,39,"TEC","VIU",13,16,"ANTOFAGASTA",0,531869,0,0,1091,0,46468,1,8000000,"NO",NA
2669,"M",662016,47,"UNV","SEP",138,1,"ARICA",0,584605,0,22236,78,0,4,1,8000000,"NO",NA
2670,"M",853725,47,"UNV","SOL",138,1,"ARICA",658637,122222,0,145611,1242,0,66,1,800000,"NO",NA
2671,"M",24432,45,"UNV","CAS",55,90,"SANTIAGO",110612,102925,0,1285070,1054,0,492,2,1200000,"NO",NA
2672,"F",8452507,33,"MED","VIU",19,115,"SANTIAGO",851831,761662,0,0,1509,839,0,1,650000,"NO",NA
2673,"M",29056,36,"UNV","CAS",54,88,"SANTIAGO",0,469629,0,0,0,0,11250,0,3600000,"NO",NA
2674,"F",229831,61,"MED","SOL",68,213,"LOS ANGELES",0,0,0,0,1783,5202,161,1,1700000,"SI",NA
2675,"M",151643,52,"TEC","SOL",39,84,"SANTIAGO",0,19,0,107578,732,0,264,2,1000000,"NO",NA
2676,"F",435788,45,NA,"CAS",52,88,"SANTIAGO",0,274306,0,7590,352,0,0,1,1300000,"SI",NA
2677,"M",120036,31,"TEC","CAS",56,131,"RANCAGUA",0,264667,0,0,158,0,0,2,1400000,"NO",NA
2678,"M",1203211,38,"TEC","CAS",59,91,"SANTIAGO",0,933546,0,0,32,0,31,1,8000000,"NO",NA
2679,"F",4413220,38,"MED","SOL",90,135,"MACHALI",0,122872,1115248,2287496,1179,0,6079,1,3500000,"SI",NA
2680,"M",105958,50,"UNV","SOL",138,1,"ARICA",0,28851,0,0,1111,0,0,1,1500000,"NO",NA
2681,"F",586145,24,"UNV","SOL",31,119,"SANTIAGO",0,238849,0,2155,0,0,3,1,3000000,"SI",NA
2682,"M",5147495,42,"UNV","CAS",55,90,"SANTIAGO",0,52613,0,205465,697,849,11,2,2200000,"NO",NA
2683,"F",351199,32,"UNV","CAS",37,105,"SANTIAGO",0,70942,0,56860,129,0,32,1,1600000,"NO",NA
2684,"F",10397,41,"TEC","SOL",88,67,"VINA DEL MAR",0,769949,0,0,8,0,0,1,8000000,"NO",NA
2685,"F",59625,48,"TEC","SOL",132,99,"SANTIAGO",0,635,0,404708,474,0,933,1,3600000,"SI",NA
2686,"M",4692333,43,"MED","CAS",55,90,"SANTIAGO",0,263402,0,1082143,646,16438,1268,1,8000000,"SI",NA
2687,"F",1035136,47,"MED","VIU",71,326,"PUNTA ARENAS",74703,282118,0,0,560,22401,2,2,3000000,"NO",NA
2688,"F",62659,40,"TEC","SOL",86,49,"LOS ANDES",0,218349,0,0,0,0,0,0,1700000,"SI",NA
2689,"M",198763,47,"UNV","SOL",51,90,"SANTIAGO",0,679295,0,126566,0,0,80,0,1300000,"NO",NA
2690,"M",3368972,41,"MED","CAS",55,90,"SANTIAGO",0,466700,0,254993,55,0,54,1,1600000,"NO",NA
2691,"F",26936,56,"MED","SOL",10,5,"IQUIQUE",3664027,592812,0,134023,1244,0,18809,1,8000000,"SI",NA
2692,"M",3443967,43,"UNV","CAS",55,90,"SANTIAGO",0,0,0,0,0,3450,0,1,2800000,"SI",NA
2693,"F",14601,38,"TEC","SOL",49,80,"SANTIAGO",0,55727,0,175984,44,0,456,1,2300000,"SI",NA
2694,"M",10350,38,"MED","CAS",69,55,"SANTA MARIA",0,899620,0,0,0,3876,3930,0,4600000,"NO",NA
2695,"M",58493,41,"UNV","CAS",102,90,"SANTIAGO",0,18557,0,0,81,16981,651,1,4600000,"NO",NA
2696,"M",3103353,41,"UNV","CAS",55,90,"SANTIAGO",0,15101,0,0,70,27958,0,1,8000000,"NO",NA
2697,"M",15611,45,"MED","CAS",90,80,"SANTIAGO",0,370168,0,22908,0,0,590,1,1700000,"NO",NA
2698,"M",298096,49,"MED","CAS",88,67,"VINA DEL MAR",0,261420,0,0,63,0,53,2,3500000,"NO",NA
2699,"M",638576,42,"UNV","CAS",25,93,"SANTIAGO",0,379224,0,156,463,16706,29,2,4100000,"NO",NA
2700,"F",251680,27,"MED","CAS",88,67,"VINA DEL MAR",0,89755,0,321757,68,0,103,1,2200000,"NO",NA
2701,"M",414448,49,"UNV","CAS",55,115,"SANTIAGO",0,174398,0,0,0,1791,0,1,1600000,"NO",NA
2702,"M",257616,45,"UNV","SOL",31,119,"SANTIAGO",0,278056,0,9686,281,0,80,1,4600000,"NO",NA
2703,"M",1545849,42,"UNV","CAS",41,80,"SANTIAGO",0,44688,0,17395,11,0,0,1,1600000,"NO",NA
2704,"M",80942,34,"UNV","CAS",59,88,"SANTIAGO",0,241915,0,38876,1689,0,89,3,3100000,"NO",NA
2705,"M",410311,54,"TEC","CAS",118,89,"SANTIAGO",0,514764,0,33686,223,10489,262,2,3600000,"NO",NA
2706,"M",3813514,41,"UNV","CAS",55,90,"SANTIAGO",0,116046,0,20740,113,0,4,1,1600000,"SI",NA
2707,"M",34511,38,"TEC","CAS",30,100,"SANTIAGO",0,438829,394902,0,5,1986,353,1,1900000,"NO",NA
2708,"M",812809,34,"TEC","CAS",22,1,"ARICA",0,25331,0,1006197,435,0,3610,2,4600000,"NO",NA
2709,"M",167451,35,"UNV","CAS",90,115,"SANTIAGO",0,193581,0,0,0,154,0,0,1900000,"NO",NA
2710,"M",43938,45,"UNV","SEP",55,90,"SANTIAGO",0,0,0,0,348,24168,0,1,6400000,"NO",NA
2711,"M",719843,50,"MED","CAS",54,89,"SANTIAGO",0,5701,0,0,833,0,522,3,1900000,"NO",NA
2712,"M",2331906,44,"UNV","CAS",55,90,"SANTIAGO",0,208408,0,24683,31,2682,0,1,3600000,"SI",NA
2713,"F",367403,43,"MED","CAS",48,88,"SANTIAGO",0,0,0,2,13,0,25,1,1900000,"NO",NA
2714,"F",484801,32,"TEC","SOL",57,81,"SANTIAGO",0,35374,0,299245,68,22063,243,1,1900000,"SI",NA
2715,"F",2000784,49,"TEC","CAS",45,86,"SANTIAGO",0,0,0,0,0,0,129996,0,8000000,"NO",NA
2716,"F",206933,48,"UNV","CAS",138,1,"ARICA",0,1033,0,374255,1259,0,289,3,1500000,"NO",NA
2717,"F",192853,46,"UNV","CAS",31,119,"SANTIAGO",0,53459,0,206093,48,0,322,1,2300000,"NO",NA
2718,"F",373657,54,"MED","VIU",138,1,"ARICA",0,64439,0,822023,55,12261,1686,1,1900000,"SI",NA
2719,"F",251428,50,"UNV","SOL",25,93,"SANTIAGO",0,29470,0,13496,101,0,11,1,2200000,"NO",NA
2720,"F",338664,47,"MED","CAS",138,1,"ARICA",0,135163,0,0,299,0,0,2,2100000,"NO",NA
2721,"F",462228,42,"UNV","SOL",61,284,"OSORNO",0,1064823,0,455923,52,0,0,1,3500000,"NO",NA
2722,"F",459298,35,"UNV","CAS",107,164,"CURICO",0,17655,0,0,76,0,0,1,1300000,"NO",NA
2723,"F",2697816,37,"TEC","VIU",21,5,"IQUIQUE",0,319281,0,1837739,4,38266,1620,1,5000000,"NO",NA
2724,"F",405306,40,"MED","CAS",31,119,"SANTIAGO",506653,784966,0,116226,316,0,321,2,2400000,"NO",NA
2725,"F",29763,41,"TEC","SOL",34,31,"COQUIMBO",0,196083,0,253981,0,76981,1541,1,8000000,"NO",NA
2726,"F",673755,34,"TEC","CAS",77,126,"SAN PEDRO",0,743977,0,73592,624,0,116,1,3200000,"SI",NA
2727,"M",266466,35,"TEC","CAS",66,253,"TEMUCO",567520,379675,148569,0,1182,0,258,1,5100000,"NO",NA
2728,"M",221597,26,"UNV","SOL",138,1,"ARICA",245701,0,0,0,523,0,0,1,1100000,"NO",NA
2729,"M",102016,46,"MED","CAS",52,99,"SANTIAGO",763085,31696,0,288837,1446,19354,408,3,2100000,"NO",NA
2730,"F",437563,25,"TEC","CAS",28,89,"SANTIAGO",0,3211,0,70334,172,0,34,2,1400000,"NO",NA
2731,"M",21417,45,"MED","CAS",55,90,"SANTIAGO",0,365889,0,161657,245,0,815,2,8000000,"NO",NA
2732,"M",3385731,39,"UNV","CAS",55,90,"SANTIAGO",0,38419,0,25238,34,0,0,1,2500000,"SI",NA
2733,"M",12702,52,"UNV","CAS",55,90,"SANTIAGO",477201,248165,0,0,1033,5908,0,1,500000,"NO",NA
2734,"M",483374,38,"UNV","CAS",29,92,"SANTIAGO",0,197433,2492649,80543,183,0,1872,1,4300000,"NO",NA
2735,"F",45381,52,"TEC","SOL",24,87,"SANTIAGO",0,1055282,2349215,0,368,0,13726,1,8000000,"SI",NA
2736,"F",4590587,32,"TEC","VIU",84,80,"SANTIAGO",0,400803,0,188519,80,0,183,1,2900000,"NO",NA
2737,"F",274100,29,"TEC","SOL",23,164,"CURICO",0,73524,0,0,0,0,0,0,1200000,"NO",NA
2738,"F",405454,32,"UNV","SOL",130,98,"SANTIAGO",0,6127,0,170871,580,0,137,2,1300000,"SI",NA
